Id,SOURCE,TARGET,LabelSource,LabelTarget
3222,1323,61,Bossa Nova Investimentos,Hack VC
3223,1323,956,Bossa Nova Investimentos,Everli
3224,872,956,DN Capital,Everli
3225,501,956,360 Capital,Everli
3226,746,956,United Ventures,Everli
3227,1323,1942,Bossa Nova Investimentos,Encantos
3228,1616,1942,Lightspeed Venture Partners,Encantos
3229,531,1942,Precursor Ventures,Encantos
3230,594,1942,Kapor Capital,Encantos
3231,1323,27,Bossa Nova Investimentos,Altibbi
3232,511,27,Hikma Ventures,Altibbi
3233,1067,27,Global Ventures,Altibbi
3234,525,27,DASH Ventures,Altibbi
3235,1323,1578,Bossa Nova Investimentos,BoostUp.ai
3236,1044,1578,Correlation Ventures,BoostUp.ai
3237,621,1578,NGP Capital,BoostUp.ai
3238,478,1578,Bethnal Green Ventures,BoostUp.ai
3239,1033,1578,Benhamou Global Ventures,BoostUp.ai
3240,1922,591,SoftBank Capital,NetEase
3241,1109,274,M13,The Honest Company
3242,283,274,Fidelity Management and Research Company,The Honest Company
3243,1616,274,Lightspeed Venture Partners,The Honest Company
3244,1423,274,L Catterton,The Honest Company
3245,1109,1984,M13,Boba Network
3246,61,1984,Hack VC,Boba Network
3247,1454,1984,Huobi,Boba Network
3248,55,1984,BitMart,Boba Network
3249,283,1145,Fidelity Management and Research Company,Shift
3250,1207,1145,Lithia Motors,Shift
3251,310,1145,Highland Capital Partners,Shift
3252,753,1145,Threshold,Shift
3253,283,1649,Fidelity Management and Research Company,Somatus
3254,1943,1649,RA Capital Management,Somatus
3255,1140,1649,GIC,Somatus
3256,1482,1649,Optum Ventures,Somatus
3257,283,598,Fidelity Management and Research Company,Nykaa
3258,344,598,TPG Growth,Nykaa
3259,783,598,Steadview Capital,Nykaa
3260,1585,598,Max Ventures and Industries,Nykaa
3261,283,1476,Fidelity Management and Research Company,Perella Weinberg Partners
3262,1305,1476,Wellington Management,Perella Weinberg Partners
3263,1616,378,Lightspeed Venture Partners,ThoughtSpot
3264,453,378,ServiceNow,ThoughtSpot
3265,1661,378,Khosla Ventures,ThoughtSpot
3266,1616,1713,Lightspeed Venture Partners,Theta Lake
3267,528,1713,Zoom,Theta Lake
3268,1249,1713,Wells Fargo,Theta Lake
3269,1547,1713,Neotribe Ventures,Theta Lake
3270,365,1713,Battery Ventures,Theta Lake
3271,1616,1499,Lightspeed Venture Partners,Yugabyte
3272,1589,1499,8VC,Yugabyte
3273,1056,1499,Greenspring Associates,Yugabyte
3274,329,1499,Dell Technologies Capital,Yugabyte
3275,1807,1499,Alkeon Capital,Yugabyte
3276,1616,1842,Lightspeed Venture Partners,Wintermute Trading
3277,61,1842,Hack VC,Wintermute Trading
3278,1177,1842,Kenetic,Wintermute Trading
3279,2064,1842,Pantera Capital,Wintermute Trading
3280,780,1842,FBG Capital,Wintermute Trading
3281,1616,1752,Lightspeed Venture Partners,Laiye
3282,695,1752,Sequoia Capital China,Laiye
3283,1532,1752,Microsoft,Laiye
3284,927,1752,Cathay Innovation,Laiye
3285,1686,1752,Lightspeed China Partners,Laiye
3286,1616,41,Lightspeed Venture Partners,Panther Labs
3287,674,41,Coatue,Panther Labs
3288,950,41,Innovation Endeavors,Panther Labs
3289,1336,41,ICONIQ Growth,Panther Labs
3290,2014,41,645 Ventures,Panther Labs
3291,1616,1418,Lightspeed Venture Partners,Lianluo
3292,695,1418,Sequoia Capital China,Lianluo
3293,1101,1418,F&G Venture,Lianluo
3294,1423,188,L Catterton,Hydrow
3295,328,188,Winklevoss Capital,Hydrow
3296,1465,188,Raptor Group,Hydrow
3297,1150,188,Activant Capital,Hydrow
3298,1423,342,L Catterton,FLASH
3299,1042,342,Austin Ventures,FLASH
3300,1498,342,Geekdom Fund,FLASH
3301,674,1534,Coatue,Pleo
3302,1329,1534,Seedcamp,Pleo
3303,1237,1534,Stripes,Pleo
3304,1180,1534,Bain Capital Ventures,Pleo
3305,1046,1534,Creandum,Pleo
3306,1605,1780,Khaira Capital,Skims
3307,1882,1780,Thrive Capital,Skims
3308,622,1780,Lone Pine Capital,Skims
3309,310,1983,Highland Capital Partners,Huntress
3310,762,1983,SaaS Ventures,Huntress
3311,1582,1983,Forgepoint Capital,Huntress
3312,558,1983,Blu Venture Investors,Huntress
3313,753,829,Threshold,Alchemist Accelerator
3314,1661,829,Khosla Ventures,Alchemist Accelerator
